State,main,paramStart,paramEnd,id,comma,opAtrib,term,opAccess,fAdd,fRemove,fSort,fUpper,fLower,fLength,fRefresh,fDiff_dates,fCollectData,fCompare,tInt,tFloat,tString,tBool,tCommit,tUser,tRepository,tFile,tIssue,tPullRequest,tComment,tDate,tInts,tFloats,tStrings,tBools,tCommits,tUsers,tRepositories,tFiles,tIssues,tPullRequests,tComments,tDates,tVoid,prWrite,prRead,prWhile,prFor,in,prIf,prElse,escStart,escEnd,opConc,opLogicOr,opLogicAnd,opRel1,opRel2,opRel3,opAritAd,opAritMul,opNeg,tLitInt,tLitFloat,tLitBool,tLitString,prReturn,$
122,,,r82,,,r82,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r82,,r82,r82,r82,r82,r82,r82,s100,,,,,,,,
123,,,r83,,,r83,r83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r83,,r83,r83,r83,r83,r83,r83,s100,,,,,,,,
124,,,r85,,,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r85,,r85,r85,r85,r85,r85,r85,r85,s101,,,,,,,
125,,,r87,,,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r87,,r87,r87,r87,r87,r87,r87,r87,r87,s102,,,,,,
126,,,r89,,,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r89,,r89,r89,r89,r89,r89,r89,r89,r89,r89,,,,,,
127,,,r91,,,r91,r91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r91,,r91,r91,r91,r91,r91,r91,r91,r91,r91,,,,,,
128,,,r16,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,
129,,,s136,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,r66,,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,r67,,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,s83,s138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,
133,,,,,,s83,s139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s84,,,,,,,,,,,,,,
